"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0342811",6239.37474619898,6981.36576762313,5823.57233038249,817.996660023556,766.651262935198,788.662267616269,0.00012629201503672,-3.000782914559,7.11142229455133e-09,0.124932184025283,3.89862410736325
"FBtr0073421",4856.81476803777,4820.27849728664,5327.60616854656,542.742265393935,411.067777359261,542.929065941611,0.00012629201503672,-3.33607612290594,2.12947417440513e-08,0.0990241262813795,3.89862410736325
"FBtr0100457",1280.51409358933,1346.21238665505,1203.79292468186,178.007088114232,194.103359943056,185.400137311944,0.00012629201503672,-2.78095818240012,2.07065697083156e-08,0.145495034022042,3.89862410736325
"FBtr0089348",1650.12139138107,1684.92018013846,1541.0953278189,405.042648679236,428.183456071267,415.580781791814,0.000142911723697373,-1.96517200585066,3.92245813238245e-08,0.25610866928691,3.8449321426
"FBtr0084549",1103.26497358957,1107.19368895448,1226.34174236266,157.260479689183,127.515331824117,142.146122261465,0.000142911723697373,-3.01422863389238,4.01617928556017e-08,0.123773242232847,3.8449321426
"FBtr0300190",1051.61191309194,1172.5629645279,1041.64616878012,149.760051055353,113.832115974632,137.484848557801,0.000204337205830636,-3.03067508464261,7.82645997602449e-08,0.122370262712918,3.6896525495898
"FBtr0113470",767.064719995806,821.808130154896,763.705999521994,138.830567797076,151.824791814105,125.467194406665,0.000204337205830636,-2.50201119365394,8.3188043079353e-08,0.176530430869705,3.6896525495898
"FBtr0075753",3388.29921413173,3945.00493283741,3315.1331133253,1012.45795058578,918.899208872717,897.400005308961,0.000322711500355436,-1.91044667618984,2.23374068965128e-07,0.266010172829681,3.49118555752169
"FBtr0334328",1929.79320251195,1908.19770464394,2128.83390420002,687.43932991752,725.061543137067,662.686561244926,0.000322711500355436,-1.52257026461633,2.56172163806861e-07,0.34806526067181,3.49118555752169
"FBtr0089484",608.103080314711,656.72925675665,627.352426117159,139.550426486253,121.109024967523,112.913092763619,0.00031799372720847,-2.34186273718709,1.78728488763753e-07,0.197255476863618,3.49758144688858
"FBtr0087533",5002.58805059411,5198.90862305731,5268.53495373673,2533.08559877515,2533.44112542995,2622.82262443477,0.000336118162385058,-1.00886292516699,3.52186258543662e-07,0.4969377599826,3.47350801948383
"FBtr0077409",787.373791465263,823.295141542805,809.220119111462,213.148110953938,215.341466563333,253.651931228342,0.000336118162385058,-1.83180095989652,3.23895024677869e-07,0.280913729090597,3.47350801948383
"FBtr0072956",6655.6581134222,8123.74181498134,6793.88327816342,1717.93534146949,1501.57129789231,1321.17661123018,0.000336118162385058,-2.25055175143336,3.88571965245523e-07,0.210143720038636,3.47350801948383
"FBtr0070985",586.253138888762,606.476514213686,529.806525787783,80.8868478204546,102.646583251307,98.7835965138908,0.000322711500355436,-2.6173428958592,2.72070172287069e-07,0.162967603604204,3.49118555752169
"FBtr0308065",1252.3971879397,1202.27532551098,1338.69469486833,460.379104904609,416.017815883511,446.445615838424,0.000336118162385058,-1.51935432017661,3.96722201556105e-07,0.348842006296713,3.47350801948383
"FBtr0072393",909.116393273135,959.461796146945,1052.30897120917,258.712521973249,213.936441519981,218.211924656799,0.000339590364875699,-2.08066098147907,4.19907150813026e-07,0.236406075661353,3.4690446403971
"FBtr0076459",247.539420526678,266.48912029275,255.983415108489,52.9375188706207,48.8896874983732,51.0962351045865,0.000322711500355436,-2.34053699860239,2.39552447890371e-07,0.197436824536342,3.49118555752169
"FBtr0072864",1480.05357737781,1413.25902731663,1477.30387565355,651.991088569048,655.007333508679,680.078357670956,0.000361542574360853,-1.13762432252585,5.00049650029537e-07,0.454507396442924,3.44184055391222
"FBtr0073269",2517.60004949467,2644.11325186758,2319.01488432993,918.714247307708,781.189376127363,830.706882637524,0.000361542574360853,-1.56484707124156,5.14739831108296e-07,0.338013536515518,3.44184055391222
"FBtr0083967",381.392867985843,374.32895890766,402.058830405736,96.2002293783884,96.4274633537106,103.578620605412,0.000336118162385058,-1.9645054186638,3.68744954556688e-07,0.256227029853996,3.47350801948383
"FBtr0302694",1477.27997936566,1700.16619801567,1597.19330541867,495.934803358985,399.879779800207,437.909822880433,0.000361542574360853,-1.84295586040581,5.29390606472885e-07,0.278750082975829,3.44184055391222
"FBtr0290019",3090.24058678382,3305.1703799012,3428.44854379109,1238.49014582318,1011.98071580362,1160.90458340459,0.00042451102186204,-1.52988741392254,6.91930060364161e-07,0.346304391125418,3.37211102939712
"FBtr0077234",2852.91180496509,3181.84435633117,2872.13596186531,1377.43449375562,1339.58549034513,1358.27744835455,0.000439542288824627,-1.12622432310665,7.65839194782118e-07,0.458113085286582,3.35699933465242
"FBtr0112851",927.450281322207,958.334057854431,917.542225269138,364.207930863237,373.930273033282,318.989289803979,0.000456979941380331,-1.41080519778772,8.90844650799884e-07,0.376101718156589,3.34010286237877
"FBtr0087295",893.170951040548,878.791765696544,961.965055579103,383.720646020396,365.830967831075,359.362264882869,0.000456979941380331,-1.30094904307405,9.24644665562719e-07,0.405859125443415,3.34010286237877
"FBtr0071835",336.63124201,398.911579370937,345.726348331868,69.2177486310406,52.5939252209494,53.0053711045514,0.000439542288824627,-2.64437511919825,7.45819632728094e-07,0.159942459234476,3.35699933465242
"FBtr0302695",954.235504851338,966.48592389045,933.211925284829,420.760510898378,376.87126864544,360.448748301157,0.000550757573387037,-1.30418223777405,1.20244748310734e-06,0.404950581199921,3.25903952221608
"FBtr0077645",2465.62081879769,2824.95328363316,2775.02417618986,594.224776547171,380.71904929135,373.596891808331,0.000569163201868091,-2.61160513239634,1.34357320584869e-06,0.163617035009971,3.24476318613912
"FBtr0075811",4575.62775789513,5095.79326031449,4470.27169974859,2175.50167700136,2283.26926745807,2287.754390348,0.000585228914969258,-1.06617638998306,1.44728373755887e-06,0.477583073299816,3.23267422441042
"FBtr0330118",249.69548913947,253.977888468685,257.131085533327,79.4314043915357,71.3349457623299,79.1891152172834,0.000569163201868091,-1.72880392470815,1.31627758757946e-06,0.301701981169246,3.24476318613912
"FBtr0085735",94.1989663175637,102.277137413064,97.3038273385485,13.4036165105056,13.9870437051269,10.4649133565095,0.00042451102186204,-2.94946441096039,6.70210800078991e-07,0.129456166130675,3.37211102939712
"FBtr0087115",104.361593751201,108.378620919777,109.838861164475,24.1599836242088,21.9222803396908,21.1939135829263,0.00046715641914738,-2.26538559773251,9.7149210366755e-07,0.207994084425058,3.33053767918038
"FBtr0299968",1173.75003085813,1239.89106342616,1413.82994345641,453.652674190235,418.995170393661,369.938440776073,0.000762252807816975,-1.62432135701227,2.31742032360599e-06,0.324362432699204,3.11790096720243
"FBtr0072561",222.773289482898,212.945823759013,233.475260291224,63.8854916421126,69.0838683650108,72.3733183577261,0.000762252807816975,-1.70695930779868,2.22742097253177e-06,0.306304972395775,3.11790096720243
"FBtr0088370",79.2242501404953,73.642263503112,82.3334236219806,13.8647197381625,14.6494163350278,16.6255406931193,0.000577085898391874,-2.3738948276764,1.39471074813684e-06,0.192924085516201,3.23875953793431
"FBtr0070393",295.068785792593,298.748963245246,311.328574737901,109.570959304331,109.19828024746,116.418111235104,0.00080569631148616,-1.43611048513848,2.53591464946184e-06,0.36956230474347,3.09382862457101
"FBtr0302896",174.20938744695,174.899520275883,181.311704077327,56.5649881023572,57.728836223848,54.5012436489998,0.000762252807816975,-1.64761979326967,2.35633455653854e-06,0.319166293961865,3.11790096720243
"FBtr0072087",819.650825017375,967.626132891369,844.677668673562,293.913027921867,263.272342997906,221.997673752657,0.000864198299072972,-1.76353242402614,3.04283217407929e-06,0.294526137549106,3.06338659280835
"FBtr0089963",794.911089636608,773.969058186262,698.029296848274,239.762405224761,295.14000849952,279.428934345192,0.000869572083800372,-1.48174465910201,3.24742144346731e-06,0.358055551523385,3.06069441101705
